holder,district,address_street,address_building,square,contract,contract_day_start,contract_day_finish,contract_price
Львівобленерго ПАТ,Франківський,Княгинi Ольги,5,49.1,Ф-9196-14,03.10.2014,02.10.2017,3161.76
Львівобленерго ПАТ,Галицький,Костомарова М.,1,21.4,Г-9194-14,03.10.2014,02.10.2017,1472.04
Львівобленерго ПАТ,Личаківський,Личакiвська,117,40.1,Л-9905-15,18.11.2015,17.11.2018,3224.01
Львівобленерго ПАТ,Личаківський,Личакiвська,137,69.8,Л-9903-15,18.11.2015,17.11.2018,5611.85
Львівобленерго ПАТ,Личаківський,Мечникова I.,16,43.8,Л-9193-14,03.10.2014,02.10.2017,2838.44
Львівобленерго ПАТ,Франківський,Полiтехнiчна,13,39.3,Ф-9904-15,18.11.2015,17.11.2018,3171.36
Львівобленерго ПАТ,Франківський,Сахарова А. акад.,29,38.8,Ф-9192-14,03.10.2014,02.10.2017,2615.51
Львівобленерго ПАТ,Франківський,Тролейбусна,7,135.4,Ф-9197-14,03.10.2014,02.10.2017,8524.74
Львівобленерго ПАТ,Галицький,Шевченка Т. просп.,22,97.7,Г-9662-15,25.06.2015,25.06.2020,22331.32
Львівобленерго ПАТ,Галицький,Шевченка Т. просп.,24,213.2,Г-9377-15,21.01.2015,21.01.2020,42247.62
Львів-Реставрація Львівське спец. науково-реставр.,Галицький,Ринок пл.,40,48.2,Г-10282-16,25.11.2016,24.11.2019,8489.92
ЛЬВІВ-СТРУМ ПВКП,Галицький,Джерельна,10,49.3,Ш-0923,22.05.2002,22.05.2005,987.38
Львівська Громада Української Єпархії Вірменської,Галицький,Вiрменська,13,78.1,Г-7263-9,10.08.2009,07.08.2034,1 грн. в рік
Львівська Громада Української Єпархії Вірменської,Галицький,Вiрменська,7,36.9,Г-7048-9,20.03.2009,19.03.2058,Безоплатне використ.
Львівська державна хореографічна школа,Галицький,Дорошенка П.,63,1085.5,Г-9068-14,01.07.2014,25.06.2017,1 грн. в рік
Львівська державна школа мистецтв № 11,Залізничний,Виговського I., 1а,559.8,З-9494-15,12.03.2015,11.03.2018,1 грн. в рік освіта
Львівська крайова орган. Асоціації україн.правникі,Галицький,Міцкевича А. пл, 6/7,54.7,Г-9730-15,30.07.2015,29.07.2018,2425.93
Львівська міська рада організації ветеранів Україн,Франківський,Київська,4,51.2,Ф-10381-16,26.12.2016,25.12.2019,1 грн. в рік
Львівська наукова бібліотека ім.В.Стефаника,Личаківський,Личакiвська,131,810.3,Л-9307-14,23.12.2014,23.12.2063,1 грн. за кв. м. в рік
Львівська національна академія мистецтв,Галицький,Дудаєва Дж.,17,684.8,Г-7702-11,28.01.2011,28.01.2021,1 грн. за кв. м. в рік
Львівська національна академія мистецтв,Галицький,Снопкiвська,47,1292.7,Г-8392-12,07.08.2012,07.08.2017,1 грн. за кв. м. в рік
Львівська національна академія мистецтв,Галицький,Снопкiвська,47,1254.6,Г-7703-11,28.01.2011,28.01.2021,1 грн. за кв. м. в рік
Львівська обласна бібліотека для дітей,Личаківський,Кониського О.,1,26,Л-9835-15,28.09.2015,27.09.2018,1 грн. за кв. м. в рік
Львівська обласна бібліотека для дітей,Личаківський,Личакiвська,31,41.8,Л-9837-15,28.09.2015,27.09.2018,1 грн. за кв. м. в рік
Львівська обласна бібліотека для дітей,Галицький,Снопкiвська,11,36.6,Г-9836-15,28.09.2015,27.09.2018,1 грн. за кв. м. в рік
Львівська обласна державна бібліотека для юнацтва,Галицький,Ринок пл.,8,145.6,Г-9552-15,23.04.2015,22.04.2018,1 грн. за кв. м. в рік
Львівська обласна державна бібліотека для юнацтва,Галицький,Ринок пл.,9,680.6,Г-9553-15,23.04.2015,22.04.2018,1 грн. за кв. м. в рік
Львівська обласна клінічна лікарня,Личаківський,Кармелюка У.,1,114.1,Л-8740-13,22.08.2013,21.08.2016,1 грн. за кв. м. в рік медицина
Львівська обласна наукова медична бібліотека Комун,Галицький,Руська,20,399.8,Г-10429-17,27.01.2017,27.01.2018,1 грн. за кв. м. в рік медицина
Львівська обласна спілка бійців АТО,Галицький,Грушевського М.,16,55.9,Г-9817-15,16.09.2015,16.09.2016,3727.72
"Львівська обласна спілка політичних в""язнів Україн",Галицький,Стефаника В.,8,105.4,Г-9511-15,20.03.2015,19.03.2018,5777.99
Львівська обласна федерація боротьби Самбо,Шевченківський,Промислова,20,69.5,Ш-9990-16,25.02.2016,24.02.2019,90.52
Львівська обласна федерація кікбоксингу  ГО,Сихівський,Литвиненка С.,11,98.8,С-9416-15,16.02.2015,15.02.2018,189.08
Львівська Українська приватна гімназія,Сихівський,Ярославенка Я.,3,480.9,С-9744-15,12.08.2015,11.08.2025,1 грн. в рік освіта
Львівська Українська приватна гімназія,Сихівський,Ярославенка Я.,5,636.7,С-9745-15,12.08.2015,11.08.2025,1 грн. в рік освіта
Львівське обласне бюро судово-медичної експертизи,Шевченківський,Миколайчука I.,9,33.45,Ш-9540-15,21.04.2015,20.04.2018,1 грн. за кв. м. в рік медицина
Львівське обласне відділення фонду соціального зах,Галицький,Маланюка Є.  пл.,6,194,Г-10091-16,29.04.2016,28.04.2019,1 грн. за кв. м. в рік
ЛЬВІВСЬКИЙ БУДИНОК ОРГАННОЇ ТА КАМЕРНОЇ МУЗИКИ,Галицький,Бандери С.,10,1360.5,Г-7612-10,13.10.2010,13.10.2030,1 грн. в рік
Львівський державний університет безпеки життєдіял,Сихівський,Зелена, 301б,247.2,С-9859-15,12.08.2016,13.10.2020,1 грн. за кв. м. в рік
Львівський державний університет безпеки життєдіял,Сихівський,Зелена, 301б,1102.6,С-9860-15,13.10.2015,13.10.2020,1 грн. за кв. м. в рік
Львівський державний університет безпеки життєдіял,Шевченківський,Клепарiвська,31,631,Ш-9544-15,21.04.2015,21.04.2017,1 грн. за кв. м. в рік освіта
Львівський інститут медсесестрин ім.А.Крупинського,Шевченківський,Орлика П.,4,90.7,Ш-10457-17,27.01.2017,26.01.2020,1 грн. за кв. м. в рік медицина
Львівський інститут медсесестрин ім.А.Крупинського,Сихівський,Червоної Калини,68,20,С-9547-15(Д-17),22.02.2017,21.04.2018,1 грн. за кв. м. в рік медицина
Львівський історичний музей,Залізничний,Бiлогорща, 76а,161.1,З-7056-9,24.03.2009,24.03.2019,1 грн. за кв. м. в рік
Львівський історичний музей,Галицький,Вітовського Д.,57,1077.3,Г-2166-4,10.08.2004,02.08.2054,206.2
Львівський історичний музей,Франківський,Гвардiйська,18,153.7,Ф-9588-15,19.05.2015,19.05.2020,1 грн. за кв. м. в рік
Львівський історичний музей,Личаківський,Лисенка М., 23а,955.5,Л-2691-5(Д-15),12.04.2005,12.04.2055,1 грн. за кв. м. в рік
Львівський історичний музей,Галицький,Ринок пл.,2,960.4,Г-8501-12,26.11.2012,26.11.2037,1 грн. за кв. м. в рік
Львівський історичний музей,Галицький,Ринок пл.,5,47.1,Г-8391-12(Д-13)/2,15.02.2013,02.08.2017,6145.7
Львівський історичний музей,Галицький,Ринок пл.,5,226.3,Г-8391-12(Д-14),15.02.2013,02.08.2022,1 грн. за кв. м. в рік
Львівський історичний музей,Галицький,Ринок пл.,5,155.5,Г-8307-12(Д-15),19.05.2015,28.05.2022,1 грн. за кв. м. в рік
Львівський історичний музей,Галицький,Ринок пл.,7,25.5,Г-8389-12,02.08.2012,02.08.2017,1 грн. за кв. м. в рік
ЛЬВІВСЬКИЙ КАМЕРНИЙ ХОР ДОБРОЧИННЕ МУЗИЧНО-ПРОСВІТ,Личаківський,Левицького К., 21а,129.3,Л-9320-14,24.12.2014,23.12.2017,2964.95
"Львівський коледж будівництва, архітектури та диза",Личаківський,Пекарська, 1а,3992.5,Л-10393-16,28.12.2016,28.12.2026,1 грн. за кв. м. в рік
"Львівський коледж будівництва, архітектури та диза",Личаківський,Пекарська, 1ц,217.1,Л-8607-13,29.03.2013,25.03.2016,1 грн. за кв. м. в рік
Львівський міський автомотоклуб осередок Галицьког,Сихівський,Днiстерська,17,121.2,С-9501-15,17.03.2015,17.03.2020,5513.09
Львівський міський дитячий еколого-натуралістичний,Франківський,Гiпсова, 40б,116.4,Ф-10108-16,16.05.2016,15.05.2019,1 грн. в рік
Львівський міський територіальний центр соціальног,Шевченківський,Джерельна,51,43.3,Ш-9937-15,01.02.2016,31.01.2019,1 грн. в рік
Львівський міський територіальний центр соціальног,Личаківський,Петлюри С.,29,85.2,Л-8598-13,20.03.2013,20.03.2018,1 грн. в рік
Львівський міський територіальний центр соціальног,Личаківський,Франка I.,11,35.5,Л-8597-13,20.03.2013,20.03.2018,1 грн. в рік
Львівський міський територіальний центр соціальног,Личаківський,Франка I.,41,44.3,Л-9930-15,01.02.2016,31.01.2019,1 грн. в рік
Львівський міський територіальний центр соціальног,Сихівський,Червоної Калини,66,47.85,С-9149-14,02.09.2014,01.09.2017,1 грн. в рік
Львівський міський територіальний центр соціальног,Франківський,Чупринки Т. ген., 58а,119.6,Ф-9938-15(Д-16),28.12.2016,31.01.2019,1 грн. в рік
Львівський музей історії релігії,Галицький,Братiв Рогатинцiв,39,69.1,Г-9478-15,04.03.2015,03.03.2018,1 грн. за кв. м. в рік
Львівський музей історії релігії,Галицький,Братiв Рогатинцiв,39,26.6,Г-10080-16,22.04.2016,21.04.2019,1 грн. за кв. м. в рік
Львівський музей історії релігії,Галицький,Дорошенка П.,59,47.7,Г-9476-15,04.03.2015,03.03.2018,1 грн. за кв. м. в рік
Львівський музей історії релігії,Галицький,Дорошенка П.,69,86.1,Г-9477-15,04.03.2015,03.03.2018,1 грн. за кв. м. в рік
Львівський музей історії релігії,Галицький,Музейна пл.,1,1937.5,Г-10037-16,31.03.2016,30.03.2019,1 грн. за кв. м. в рік
Львівський музей історії релігії,Галицький,Музейна пл.,3,820.9,Г-10102-16,16.05.2016,15.05.2019,1 грн. за кв. м. в рік
Львівський Муніципальний хор Гомін,Залізничний,Петлюри С.,36,284,З-9831-15,28.09.2015,27.09.2018,1 грн. в рік
Львівський національний медичний університет ім.Д.,Личаківський,Медової Печери,1,469.6,Л-10312-16,02.12.2016,01.12.2019,1 грн. за кв. м. в рік медицина
Львівський національний медичний університет ім.Д.,Личаківський,Пасiчна,102,363.8,Л-10178-16,10.07.2016,09.07.2019,1 грн. за кв. м. в рік
Львівський обласний учбовий центр підготовки та пі,Сихівський,Тернопiльська, 2а,333.4,С-9189-14(Д-16),23.12.2016,01.10.2024,1 грн. в рік
Львівський обласний центр служби крові,Личаківський,Медової Печери,1,205.5,Л-9290-14,17.12.2014,14.12.2017,1 грн. за кв. м. в рік медицина
Львівський регіональний центр з гідрометеорології,Франківський,Чупринки Т. ген., 58а,310.9,Ф-9678-15,10.07.2015,09.07.2018,1 грн. за кв. м. в рік
Львівський університет бізнесу та права Приватний,Франківський,Антоновича В.,70,553.3,Ф-8563-13,19.02.2013,19.02.2018,830.34
Львівський університет бізнесу та права Приватний,Франківський,Кульпаркiвська,99,662.3,Ф-9155-14,05.09.2014,04.09.2017,1 грн. в рік освіта
Львівський університет бізнесу та права Приватний,Франківський,Кульпаркiвська,99,560.5,Ф-8736-13,19.08.2013,16.08.2018,1493.49
ЛЬВІВХЛІБ,Франківський,Бандери С.,31,54.6,7176,20.06.1997,20.06.2022,412.49
ЛЬВІВХЛІБ,Галицький,Коперника М.,39,47.9,6422,10.10.2000,20.06.2022,284.67
ЛЬВІВХЛІБ,Франківський,Похила,2,40.9,7341,10.10.2000,20.06.2022,183.74
Любiв Б.I.,Галицький,Ринок пл.,40,85.4,Г-7057-9,24.03.2009,24.03.2019,1 грн. в рік
Любицька М.Є.,Франківський,Коновальця Є.,18,27.9,Ф-9128-14,12.08.2014,11.08.2017,282.52
Ляхович О. О.,Франківський,Засядька О. ген.,7,39.5,Ф-9738-15,05.08.2015,04.08.2018,565.04
Мазур В.Н.,Галицький,Кривоноса М.,29,27.5,1633,12.08.1993,19.07.2016,203.73
Мазурик I. М.,Шевченківський,Гунi Д.,28,18.5,Ш-9600-15,22.05.2015,21.05.2018,326.4
Мазурчак С. М.,Шевченківський,Крехiвська,10,17.7,Ш-6806-8,08.12.2008,28.11.2017,1587.56
Маїк I.I.,Личаківський,Погулянка,12,66.2,Л-10090-16,29.04.2016,28.04.2019,1401.83
Майнош В. С.,Личаківський,Корольова С.,3,16.9,Л-10041-16,11.04.2016,07.04.2019,172.74
Майстерня мрії ГО,Шевченківський,Кирилiвська, 3а,51.74,Ш-46-16суб,06.12.2016,06.12.2017,1014.22
Майстренко З. М.,Шевченківський,Хiмiчна, 49а,14.1,Ш-8770-13(Д-17),26.01.2017,06.07.2019,1961.74
Макар В.Є.,Галицький,Ринок пл.,13,43,Г-8394-12,08.08.2012,08.08.2017,3272.08
Макар Ольга Андріївна ФОП,Сихівський,Червоної Калини,68,37.6,С-9633-15,16.06.2015,16.06.2017,146.09
Макаров Г. I.,Франківський,Київська,17,27.4,Ф-10005-16,03.03.2016,02.03.2019,475.62
МакДональдз Юкрейн ЛТД,Галицький,Свободи просп.,35,251.1,7842,26.06.2000,26.06.2050,60665.13
Маковський Я. Й.,Залізничний,Хотинська,7,33,З-10021-16,22.03.2016,21.03.2019,427.13
Мала - Гресик А. Д.,Галицький,Свєнцiцького I.,14,44.5,Г-9016-14,05.05.2014,29.04.2017,450.83
Малахівська Я.П.,Шевченківський,Мазепи I. гетьмана,22,3.5,Ш-10013-16,21.03.2016,20.03.2019,47.02
Мандяк В. М.,Залізничний,Ясна,25,16.9,З-10092-16,29.04.2016,28.04.2019,1102.31
Мануйлик С. Б.,Залізничний,Перова В.,12,32.3,З-9848-15,06.10.2015,05.10.2018,417.34
"Мар""єнко I.С.",Галицький,Словацького Ю.,16,26.6,Г-9302-14,19.12.2014,18.12.2017,461.95
Маріола ТзОВ,Сихівський,Червоної Калини,38,123.2,С-10228-16,21.11.2016,20.11.2019,4861.24
Марко Галина Миронівна ФОП,Шевченківський,Орлика П.,4,71.1,Ш-9085-14,03.07.2014,02.07.2017,218.45
Марта ТзОВ,Личаківський,Пасiчна,43,46.3,Л-9728-15,28.07.2015,27.07.2018,2635.6
Матвiїв О.В.  СПД,Галицький,Театральна,8,29.3,Г-6097-8(Д-10),21.05.2010,28.03.2017,1513.39
Математичний центр ТзОВ,Галицький,Шептицьких,16,9.4,Г-10093-16,10.05.2016,09.05.2019,735.94
Махакала Спортивна організація  ГО,Шевченківський,Золота,22,45.7,Ш-9490-15,10.03.2015,09.03.2018,83.06
Мачеус В.В.,Галицький,Лесi Українки,15,162.9,Г-5972-8,31.01.2008,29.01.2016,25218.66
Мачеус О.В.  СПД,Галицький,Ринок пл.,37,246.9,Г-7015-9,10.03.2009,09.03.2012,34452.8
Мачеус О.В.  СПД,Галицький,Ринок пл.,38,481.1,Г-7012-9,10.03.2009,07.03.2018,27176.11
МЕГАБАНК ЛЦРВ ПАТ,Залізничний,Виговського I.,34,57,З-9042-14,03.06.2014,02.06.2017,6328.2
МЕДИЧНИЙ КОЛЕДЖ ПІСЛЯДИПЛОМНОЇ ОСВІТИ Львіський ви,Шевченківський,Миколайчука I.,9,1527.3,Ш-8174-12,07.03.2012,07.03.2017,31.42
МЕДІА-КЛУБ ЛМГО,Галицький,Міцкевича А. пл, 6/7,16.6,Г-8730-13,14.08.2013,14.08.2018,327.81
МЕДІС,Галицький,Кулiша П.,47,104.2,Г-8506-12,29.11.2012,28.11.2017,2048.81
МЕДКОСВІСС(Україна) ТзОВ,Шевченківський,Миколайчука I.,9,229.9,Ш-9371-15(Д-15),19.05.2015,18.01.2018,2484.12
МЕДТЕХНІКА N1 магазин ЛДП ОР,Франківський,Володимира Великого,117,912.1,Ф-8689-13(Д-13),25.07.2013,24.06.2016,13836.46
МЕДТЕХНІКА ТОРГОВА МЕРЕЖА,Галицький,Ринок пл.,3,92.1,Г-9969-16(Д-16),08.04.2016,09.02.2019,66750.02
"Медфонд благодійний фонд охорони здоров""я",Галицький,Ужгородська,1,20.6,Г-8843-13,29.10.2013,28.10.2016,76.33
Мей ФГ,Залізничний,Городоцька,144,36.3,З-10384-16,26.12.2016,25.12.2019,5011.61
Мелех Н. І.,Шевченківський,Мазепи I. гетьмана, 9а,9.1,Ш-9241-14,06.11.2014,04.11.2017,117.86
МЕЛІСА,Личаківський,Левицького К.,25,23.7,Л-7269-9,17.08.2009,17.08.2019,1 грн. в рік
Мельник З.Б.,Личаківський,Дороша Ю.,3,8.6,Л-10161-16,22.06.2016,21.06.2019,96.2
Мельник С. І.,Личаківський,Пекарська,13,27.1,Л-9409-15,12.02.2015,09.02.2020,2204.18
Мельничук Любомир Володимирович ФОП,Шевченківський,Хiмiчна, 7а,18.2,Ш-10133-16,02.06.2016,02.06.2018,221.34
МЕМОРІАЛ  ім. ВАСИЛЯ СТУСА ЛОІППЗО,Галицький,Наливайка С.,7,98.2,Г-9039-14,30.05.2014,28.05.2017,3353.56
МЕРЕЖИВО,Шевченківський,Хвильового М.,21,89.8,Ш-8523-12,27.12.2012,27.12.2017,2754.34
Мех О. А..,Залізничний,Виговського I.,55,17,З-9935-15,22.12.2015,24.08.2016,4610.18
Мигдаль  ТзОВ,Сихівський,Боднарська,16,114.2,С-9319-14,24.12.2014,23.12.2017,6094.21
Микитюк I. В.,Галицький,Бандери С.,4,29.5,Г-9525-15,08.04.2015,07.04.2018,351.04
МИЛОСЕРДЯ  Жiноче Христ.Марiйське товариство,Галицький,Руська,10,167.1,Г-0584 (Д-14),15.09.2014,19.02.2052,1 грн. в рік
Миргород Світлана  Іванівна ФОП,Франківський,Бандери С.,47,20,Ф-10196-16,11.11.2016,10.11.2019,639.62
Миргород Світлана  Іванівна ФОП,Франківський,Бандери С., 47а,63.3,Ф-10195-16,11.11.2016,10.11.2019,2026.89
Миронюк В. М.,Личаківський,Мечникова I.,19,24.1,Л-10179-16,05.07.2016,04.07.2019,317.47
Мисько Р. М.,Галицький,Вітовського Д.,33,33,Г-9593-15,29.05.2015,28.05.2018,521.56
Михаленич В.С.,Франківський,Гайворонського М.,4,36.1,Ф-9118-14,30.07.2014,29.07.2017,1 грн. в рік культура
Мігдал Є.В.,Галицький,Тарнавського М. ген.,66,43.9,Г-9734-15,31.07.2015,30.07.2018,633.6
Міжлікарняна аптека N 257  КП ЛОР,Шевченківський,Миколайчука I.,9,644.6,Ш-9628-15,22.06.2015,21.06.2018,1106.61
МІЖЛІКАРНЯНА АПТЕКА N 266 КП ЛОР,Личаківський,Мечникова I.,8,18.1,Л-9927-15,17.12.2015,16.12.2018,55.54
МІЖЛІКАРНЯНА АПТЕКА N 266 КП ЛОР,Сихівський,Хуторiвка,24,567.1,С-9931-15,22.12.2015,21.12.2018,9631.03
МІЖЛІКАРНЯНА АПТЕКА N 289 ДЕРЖАВНЕ КОМУНАЛЬНЕ ПІДП,Франківський,Городоцька,215,132.3,Ф-9337-15,06.01.2015,05.01.2018,2960.46
Міклош Леся Ярославівна ФОП,Шевченківський,Мазепи I. гетьмана,25,21,Ш-10088-16,28.08.2016,27.08.2019,262.58
Міклош Леся Ярославівна ФОП,Сихівський,Червоної Калини,57,20,С-10421-17,05.02.2017,04.02.2020,230.6
Мілабiнський М.I.,Залізничний,Виговського I.,55,16.9,П-126(Д-16),29.11.2016,15.08.2018,1572.74
Мілабiнський М.I.,Личаківський,Некрасова М.,64,31.9,Л-6088-8,28.03.2008,25.03.2014,700.64
МІМОЗА,Галицький,Кракiвська,7,159.3,6686,29.12.1995,06.10.2015,2072.63
МІМОЗА,Галицький,Кракiвська,7,50,Г-4284-6,26.04.2006,15.04.2017,983.08
Містер Колективне підприємство,Личаківський,Зелена,28,21.9,Л-10198-16,11.11.2016,10.11.2019,1571.09
Місто Лева ТзОВ,Галицький,Ринок пл.,1,648.2,263/Г,27.06.2012,30.06.2019,83230.56
Міська оренда ПП,Шевченківський,Волинська,2,58.7,5177(Д-10),01.10.2010,20.06.2022,973.76
Міська оренда ПП,Галицький,Городоцька,31,64.4,6437(Д-14),04.11.2014,20.06.2022,2759.75
Міська оренда ПП,Галицький,Городоцька,53,55.7,3305(Д-10),01.10.2010,20.06.2022,1306.78
Міська оренда ПП,Шевченківський,Грiнченка Б.,6,141.7,4280(Д-10),01.10.2010,20.06.2022,1580.11
Міська оренда ПП,Галицький,Дорошенка П.,28,54.2,6420(Д-14),04.11.2014,20.06.2022,2321.39
Міська оренда ПП,Шевченківський,Жовкiвська,1,55.1,4284(Д-10),01.10.2010,20.06.2022,1029.16
Міська оренда ПП,Шевченківський,Замарстинiвська,36,44.2,4279(Д-10),01.10.2010,20.06.2022,825.2
Міська оренда ПП,Галицький,Князя Ярослава Осмомисла,8,60.5,6433(Д-14),04.11.2014,20.06.2022,2591.22
Міська оренда ПП,Галицький,Коперника М.,21,53.6,6421(Д-14),04.11.2014,20.06.2022,2283.74
Міська оренда ПП,Галицький,Коцюбинського М.,2,73.5,6350(Д-14),04.11.2014,20.06.2022,1579.06
Міська оренда ПП,Личаківський,Новознесенська,32,53.3,5178(Д-10),01.10.2010,20.06.2022,505.25
Міська оренда ПП,Галицький,Рапопорта Я.,1,101.2,4276(Д-10),01.10.2010,20.06.2022,2143.16
Міська оренда ПП,Галицький,Святого Теодора пл.,4,61.3,4283(Д-14),04.11.2014,20.06.2022,1308.8
Міська оренда ПП,Галицький,Соборна пл.,10,43.4,6349(Д-14),04.11.2014,20.06.2022,1853.57
Міська оренда ПП,Галицький,Франка I.,89,71.3,6354(Д-14),04.11.2014,20.06.2022,1907.94
Міська оренда ПП,Галицький,Хмельницького Б.,18,52.1,4282(Д-10),01.10.2010,20.06.2022,1233.26
Міська оренда ПП,Шевченківський,Хмельницького Б.,189,58.14,5179(Д-10),01.10.2010,20.06.2022,1240.56
Міська оренда ПП,Шевченківський,Хмельницького Б.,215,39.2,5187(Д-10),01.10.2010,20.06.2022,836.24
Міська санiтарно-епiдемiчна станцiя,Личаківський,Лисенка М.,28,85.5,2214,13.09.1993,  Безтерміновий  ,Безоплатне використ.
МІСЬКА ЦЕНТРАЛІЗОВАНА БУХГАЛТЕРІЯ УСТАНОВ КУЛЬТУРИ,Галицький,Ринок пл.,21,74.2,Г-7767-11,30.03.2011,29.09.2011,1 грн. в рік
Міщенко А.В.,Личаківський,Лисенка М.,46,17.1,Л-10147-16,14.06.2016,13.06.2019,188.5
МОДЕМ  ТДВ,Личаківський,Мучна,3,28.8,5082,01.03.1994,  Безтерміновий  ,178.52
МОДЕРН-2,Галицький,Насипна,5,126.1,2112,13.08.1993,  Безтерміновий  ,920.49
Молінський Віталій Володимирович ФОП,Галицький,Катедральна пл.,2,8,Г-10423-17,06.01.2017,04.01.2018,4178.39
Молінський Віталій Володимирович ФОП,Галицький,Ринок пл.,39,45.4,Г-9126-14,15.08.2014,11.08.2017,14737.76
Молодіжна ліга спорту та спортивного туризму ГО,Личаківський,Козланюка П.,16,37.7,Л-9205-14,13.10.2014,08.10.2017,80.03
Молодіжний націоналістичний конгрес місцевий осере,Залізничний,Головацького Я.,7,32.6,З-8442-12,08.10.2012,31.08.2017,80.8
Молодіжний націоналістичний конгрес місцевий осере,Шевченківський,Зустрiчна,6,147.8,Ш-8693-13,18.07.2013,28.02.2016,730.47
Молодіжний націоналістичний конгрес-Львів ГО,Личаківський,Донцова Д.,7,85.7,Л-10443-17,20.01.2017,20.01.2022,105.01
Монада медичний коледж ТзОВ,Личаківський,Римлянина П.,2,29.8,Л-9681-15,10.07.2015,09.07.2018,560.09
МОНТАЖНИК-ЛЬВІВ МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ,Галицький,Шевченка Т.,11,677.8,3417,01.01.1992,29.12.2015,20613.15
Моріна І. В.,Франківський,Тобiлевича I.,11,34.4,Ф-9502-15,19.03.2015,16.03.2018,452.79
Мостовий Р.Д.,Галицький,Пильникарська,8,21.8,Г-9682-15,10.07.2015,09.07.2018,220.35
Мочарська Л. М.,Галицький,Менделеєва Д.,10,35,Г-10078-16,22.04.2016,21.04.2019,518.17
Мрочак В.М.,Сихівський,Трильовського К., 8а,7.8,С-9091-14,04.07.2014,03.07.2017,85.3
МТС Україна ПАТ,Залізничний,Повiтряна,99,82,З-10410-16,30.12.2016,03.10.2017,1692.85
Мудрий Назар Миколайович ФОП,Шевченківський,Замарстинiвська,41,135.7,Ш-9270-14,11.12.2014,13.05.2016,13930.58
Мудрий Р. М.,Сихівський,Хуторiвка,24,12,С-9082-14,07.07.2014,02.07.2017,728.77
Муєдiнова Т.Х.,Личаківський,Погулянка,20,29.6,Л-5862-7,14.12.2007,12.12.2016,743.48
Музей iм.Iвана Франка,Галицький,Франка I.,150,866.3,Г-8965-14,26.02.2014,24.02.2024,1 грн. за кв. м. в рік
Музей ідей ЛМГО,Галицький,Валова,18,382.8,Ф-8933-14,04.02.2014,03.02.2017,16583.79
МУЗИЧНА АКАДЕМІЯ ім.М.В.ЛИСЕНКА  Львівська націона,Галицький,Крушельницької С.,9,148.7,Г-9594-15,22.05.2015,21.05.2018,1 грн. за кв. м. в рік
МУЗИЧНА ШКОЛА N 2 ЛЬВІВСЬКА ДЕРЖАВНА,Галицький,Коперника М.,5,731.1,Г-8581-13,05.03.2013,01.03.2033,1 грн. в рік
Музичне училище ім.С.П.Людкевича  ЛД,Галицький,Вiчева,1,171.4,Г-9466-15,01.04.2015,31.03.2018,1 грн. за кв. м. в рік
Музичне училище ім.С.П.Людкевича  ЛД,Галицький,Чайковського П.,5,53.9,Г-9467-15,01.04.2015,31.03.2018,1 грн. за кв. м. в рік
Музично-мемор музей С. Крушельницької,Галицький,Крушельницької С.,23,356.1,Г-9119-14,04.08.2014,29.07.2017,1 грн. в рік культура
Мундир ПП,Галицький,Шевченка Т. просп.,18,92,б/н,01.06.2010,31.01.2017,14104.21
Мухіна Людмила Вікторівна ФОП,Шевченківський,Орлика П.,4,21.9,Ш-10329-16,16.12.2016,15.12.2019,98.15
НА РУСЬКІЙ,Галицький,Руська,8,32,Г-9305-14,19.12.2014,18.12.2017,8760.88
Навчальні посібники  Комунальне підприємство ЛОР,Франківський,Володимира Великого,40,126.7,Ф-10413-16,30.12.2016,29.12.2019,1 грн. в рік
Навчально-методичний центр освіти м.Львова,Галицький,Данила Галицького пл.,4,54.4,Г-9199-14,09.10.2014,08.10.2017,1 грн. в рік освіта
Навчально-методичний центр освіти м.Львова,Галицький,Данила Галицького пл.,4,320.1,Г-10430-17,10.01.2017,09.01.2020,1 грн. за кв. м. в рік освіта
Навчально-методичний центр освіти м.Львова,Галицький,Костюшка Т.,2,183.3,Г-10317-16,07.12.2016,06.12.2019,1 грн. в рік
НАІС фірма ПП,Галицький,Стецька Я.,3,18,Г-9623-15,21.06.2015,20.06.2018,172.75
Народний антикорупційний нагляд ЛОГО,Галицький,Лепкого Б.,16,20.2,Г-8599-13,20.03.2013,18.02.2018,280.06
НАРОДНИЙ СОЮЗ НАША УКРАЇНА ЛОО ПП,Галицький,Староєврейська, 7а,27.4,Г-9094-14,11.07.2014,10.07.2019,1012.51
Нарольський Р.М.,Франківський,Котляревського I.,9,49.4,Ф-5330-7,18.05.2007,15.05.2019,103.14
НАСТРІЙ  Колективне підприємство,Шевченківський,Хмельницького Б.,191,26.8,Л-8487-12,15.11.2012,15.11.2017,1184.04
НАУКОВЕ ТОВАРИСТВО ІМ.ШЕВЧЕНКА,Галицький,Винниченка В.,26,140.4,Г-5456-7,31.07.2007,27.07.2019,7053.66
"Науково-проектна фірма ""Галпроект""",Галицький,Франка I.,59,28.5,Г-9388-15,27.01.2015,26.01.2018,2879.42
Науково-технічна книга ТзОВ,Галицький,Ринок пл.,10,631.5,Г-7202-9,25.06.2009,25.06.2019,58648.3
