holder,district,address_street,address_building,square,contract,contract_day_start,contract_day_finish,contract_price
Відділ освіти Шевченківського району УО ДГП ЛМР,Шевченківський,Замарстинiвська, 71а,152.6,Ш-10387-16,26.12.2016,25.12.2019,1 грн. в рік
ВІДДІЛ ПРИВАТИЗАЦІЇ ДЕРЖАВНОГО ЖИТЛОВОГО ФОНДУ Гал,Галицький,Грушевського М.,16,145,6486,21.06.1995,  Безтерміновий  ,1 грн. в рік
Відродження Приватна середня загальноосвітня школа,Шевченківський,Липинського В.,16,1047.5,Ш-7632-10,15.11.2010,15.11.2020,1 грн. в рік освіта
ВІЗИТ-ЛВ,Галицький,Городоцька,117,52.7,Г-9929-15,18.12.2015,17.12.2018,1547.3
Віктюк Ю.М.,Галицький,Соборна пл.,17,24.5,Г-7906-11,19.07.2011,13.07.2016,491.41
Вільха Г. Є.,Галицький,Вербицького М.,5,45.7,Г-9696-15,21.07.2015,19.07.2018,505.02
Віночок ТзОВ,Франківський,Володимира Великого,109,153.2,Ф-9705-15,24.07.2015,23.07.2018,8811.5
Віночок ТзОВ,Франківський,Кульпаркiвська,129,82.1,Ф-9624-15,10.06.2015,09.06.2018,5705.93
Віолла-Плюс ПП,Шевченківський,Грiнченка Б., 13а,22.9,Ш-9703-15(Д-16),11.11.2016,21.07.2018,2948.88
Вірменка ТзОВ,Галицький,Вiрменська,19,49.9,Г-10343-16,22.12.2016,21.12.2019,20747.98
Вітовський О.І.,Сихівський,Сихiвська,14,20.9,С-47-17суб,17.01.2017,05.01.2018,4307.99
Вітюк  А. В.,Франківський,Київська,27,34.7,Ф-9397-15,29.01.2015,28.01.2018,613.75
ВОБ 6319  філія ПАТ  Державний ощадний банк,Франківський,Бандери С.,3,61.3,Ф-9563-15,30.04.2015,29.04.2018,39783.19
ВОБ 6319  філія ПАТ  Державний ощадний банк,Франківський,Бандери С.,89,31.5,Ф-8265-12,15.05.2012,15.05.2017,5195.59
ВОБ 6319  філія ПАТ  Державний ощадний банк,Франківський,Володимира Великого,51,109.85,Ф-8695-13,03.07.2013,03.07.2018,13105.14
ВОБ 6319  філія ПАТ  Державний ощадний банк,Франківський,Володимира Великого,63,107.9,Ф-8272-12,18.05.2012,18.05.2017,13551.4
ВОБ 6319  філія ПАТ  Державний ощадний банк,Галицький,Галицька,21,652,Г-8229-12,07.09.2012,25.04.2017,117462.88
ВОБ 6319  філія ПАТ  Державний ощадний банк,Галицький,Гнатюка В. акад.,17,43.7,Г-8273-12,18.05.2012,18.05.2017,15830.46
ВОБ 6319  філія ПАТ  Державний ощадний банк,Галицький,Городоцька,125,36,Г-8354-12,25.06.2012,25.06.2017,5201.89
ВОБ 6319  філія ПАТ  Державний ощадний банк,Шевченківський,Грiнченка Б.,8,46.9,Ш-8230-12,25.04.2012,25.04.2017,5002.79
ВОБ 6319  філія ПАТ  Державний ощадний банк,Шевченківський,Золота,17,67.4,Ш-8270-12,18.05.2012,18.05.2017,8289.41
ВОБ 6319  філія ПАТ  Державний ощадний банк,Личаківський,Корольова С.,7,41.3,Л-9330-14,30.12.2014,29.12.2017,6731.52
ВОБ 6319  філія ПАТ  Державний ощадний банк,Франківський,Кульпаркiвська,1,30.6,Ф-8353-12,25.06.2012,25.06.2017,3426.73
ВОБ 6319  філія ПАТ  Державний ощадний банк,Шевченківський,Лiнкольна А.,57,165.5,Ш-9433-15,20.02.2015,19.02.2018,35023.54
ВОБ 6319  філія ПАТ  Державний ощадний банк,Личаківський,Левицького К.,45,43.5,Л-8231-12,25.04.2012,25.04.2017,6111.06
ВОБ 6319  філія ПАТ  Державний ощадний банк,Шевченківський,Липи Ю.,20,100.4,Ш-9329-14,30.12.2014,29.12.2017,23177.3
ВОБ 6319  філія ПАТ  Державний ощадний банк,Личаківський,Личакiвська,62,40.7,Л-8264-12,15.05.2012,15.05.2017,7216.25
ВОБ 6319  філія ПАТ  Державний ощадний банк,Шевченківський,Мазепи I. гетьмана,26,75.5,Ш-9258-14,28.11.2014,27.11.2017,14537
ВОБ 6319  філія ПАТ  Державний ощадний банк,Шевченківський,Миколайчука I.,24,30.3,Ш-8271-12,18.05.2012,18.05.2017,3278.34
ВОБ 6319  філія ПАТ  Державний ощадний банк,Шевченківський,Окуневського Т.,1,481.2,Ш-9331-14,30.12.2014,29.12.2017,91749.83
ВОБ 6319  філія ПАТ  Державний ощадний банк,Личаківський,Пасiчна,102,116.9,Л-8352-12,29.06.2012,25.06.2017,13614.38
ВОБ 6319  філія ПАТ  Державний ощадний банк,Залізничний,Патона Є.,4,141.7,З-8232-12,25.04.2012,25.04.2017,17610.59
ВОБ 6319  філія ПАТ  Державний ощадний банк,Залізничний,Степанiвни О.,24,19.4,З-8234-12,25.04.2012,25.04.2017,2231.84
ВОБ 6319  філія ПАТ  Державний ощадний банк,Залізничний,Суботiвська,7,89.9,Л-8228-12,25.04.2012,25.04.2017,9779.21
ВОБ 6319  філія ПАТ  Державний ощадний банк,Личаківський,Франка I.,17,56.3,Л-8355-12,25.06.2012,25.06.2017,12853.22
ВОБ 6319  філія ПАТ  Державний ощадний банк,Галицький,Франка I.,63,39.7,Г-8269-12,18.05.2012,18.05.2017,6760.92
ВОБ 6319  філія ПАТ  Державний ощадний банк,Шевченківський,Хмельницького Б.,163,38.2,Ш-8261-12,15.05.2012,15.05.2017,5242.36
ВОБ 6319  філія ПАТ  Державний ощадний банк,Франківський,Чупринки Т. ген.,38,43.5,Ф-8263-12,15.05.2012,15.05.2017,6864.3
ВОБ 6319  філія ПАТ  Державний ощадний банк,Шевченківський,Шевченка Т.,354,87.1,Ш-8260-12,15.05.2012,15.05.2017,10186.92
ВОБ 6319  філія ПАТ  Державний ощадний банк,Галицький,Шевченка Т. просп.,36,51.7,Г-8233-12,25.04.2012,25.04.2017,21836.54
Возний Любомир Ярославович ФОП,Сихівський,Освицька,3,5.3,С-10298-16,29.11.2016,29.11.2017,122.87
Возний О.Б.,Шевченківський,Хвильового М.,21,5.8,Ш-5358-7,30.05.2007,25.05.2019,332.26
Войтович Д.I.,Франківський,Стрийська,52,14.2,Ф-3181-5,31.08.2005,31.08.2014,85.76
Волинець С.Ф.,Франківський,Новий Свiт,11,37.3,Ф-10023-16,24.03.2016,23.03.2019,612.05
Волкова Г. І.,Личаківський,Родини Крушельницьких,3,30.3,Л-8156-12,21.02.2012,21.02.2017,389.91
Володарська-Iщук О. Ю.,Личаківський,Кравчука М. акад.,12,28.5,Л-8577-13,27.02.2013,27.02.2018,309.34
Волошенко   О.П.,Личаківський,Лисенка М., 14-14а,31.6,Л-10340-16,22.12.2016,21.12.2019,240.86
Волошин Мирослав Миронович ФОП,Шевченківський,Замарстинiвська,41,28,Ш-9143-14,26.08.2014,21.08.2017,1448.72
ВОЛОШКА  КП,Галицький,Коперника М.,41,37.6,Г-8414-12(Д-16),29.12.2016,27.08.2017,3591.35
ВОЛОШКА  КП,Галицький,Коперника М.,43,23.8,Г-8415-12(Д-16),29.12.2016,27.08.2017,3433.39
Волянська О. В.,Франківський,Здоров'я,4,16.9,Ф-9951-16,06.01.2016,05.01.2019,1485.64
